Symbol,Direction,PValue,Dataset
NPEPL1,1,8.50E-10,Discovery
IVD,1,4.22E-12,Discovery
LBR,-1,1.62E-09,Discovery
GRN,1,1.44E-08,Discovery
REV3L,-1,1.65E-05,Discovery
TRIM36,-1,2.14E-06,Discovery
CSNK1E,1,3.31E-07,Discovery
TACC3,-1,1.80E-07,Discovery
RFC4,-1,3.36E-09,Discovery
CLDN1,1,5.51E-10,Discovery
ACAD8,-1,4.54E-15,Discovery
NIN,-1,0.004237395427,Discovery
CD59,1,1.03E-08,Discovery
ZC3HAV1,1,1.18E-08,Discovery
SEC31A,1,6.18E-08,Discovery
TSPAN31,1,7.09E-08,Discovery
CTHRC1,-1,1.16E-08,Discovery
XPO1,-1,4.66E-05,Discovery
PRKCI,-1,1.40E-07,Discovery
HAT1,-1,0.0007960700681,Discovery
CDC25C,-1,9.30E-08,Discovery
B2M,1,2.14E-09,Discovery
GK,-1,2.52E-09,Discovery
DHCR24,-1,7.11E-08,Discovery
GFRA1,1,1.10E-09,Discovery
DHRS2,1,3.34E-15,Discovery
NASP,-1,2.72E-05,Discovery
AMY1C,-1,6.22E-11,Discovery
RPL14,-1,3.56E-10,Discovery
ERCC1,1,7.47E-08,Discovery
THOP1,-1,1.57E-09,Discovery
NACAL,-1,1.88E-07,Discovery
NUSAP1,-1,2.75E-07,Discovery
FANCB,-1,8.11E-09,Discovery
HIST1H3G,-1,0.0003262610074,Discovery
DDX46,-1,3.36E-09,Discovery
C12orf48,-1,1.22E-08,Discovery
RICTOR,-1,0.02279169657,Discovery
TAF6L,-1,2.76E-08,Discovery
OLFML3,1,2.91E-14,Discovery
C1orf112,-1,1.42E-07,Discovery
ZKSCAN1,1,2.75E-10,Discovery
IMPA2,-1,1.40E-07,Discovery
GATA3,1,2.21E-05,Discovery
RAB33B,-1,3.78E-05,Discovery
TNF,1,8.75E-08,Discovery
KIAA1524,-1,1.29E-07,Discovery
SBK1,1,0.004789507314,Discovery
SMC4,-1,0.0001432939452,Discovery
CRAT,-1,3.39E-09,Discovery
PRC1,-1,1.67E-07,Discovery
FAM64A,-1,1.16E-08,Discovery
Septin 7,-1,2.56E-11,Discovery
MSH6,-1,3.04E-08,Discovery
PRR6,-1,9.10E-09,Discovery
NOTCH1,1,3.67E-05,Discovery
C1QTNF6,1,2.92E-09,Discovery
HERC5,1,8.15E-06,Discovery
ZNF644,-1,0.01119927286,Discovery
DTNA,1,4.97E-08,Discovery
RNF39,1,0.000516357794,Discovery
FGFR4,-1,2.72E-09,Discovery
FSTL3,1,1.04E-11,Discovery
SERTAD4,-1,1.15E-09,Discovery
SGOL1,-1,4.52E-10,Discovery
MALT1,-1,2.76E-08,Discovery
AFAP1L2,1,0.0002749878893,Discovery
ORC6L,-1,1.46E-07,Discovery
TXNDC9,-1,0.02105417543,Discovery
MELK,-1,1.53E-08,Discovery
KIAA1618,-1,2.52E-10,Discovery
