Symbol,N_Datasets,Consistent_Direction,Combined_Z_Stouffer,Combined_P_Stouffer,Combined_P_Stouffer_BH
GCHFR,2,TRUE,3.385223397,0.0007112034737,0.00942133127
ADCY3,2,TRUE,-4.701690563,2.58E-06,0.0001173010079
KIF20B,2,TRUE,4.771920978,1.82E-06,8.90E-05
PLCE1,2,TRUE,-2.804719217,0.005036042907,0.04252177669
HECW2,2,TRUE,-4.574022903,4.78E-06,0.0001952768973
COX17,3,TRUE,4.254138302,2.10E-05,0.0006522883062
APH1B,2,TRUE,3.987230941,6.68E-05,0.001552718743
EGF,2,TRUE,7.909809565,2.58E-15,1.14E-12
PRICKLE1,2,TRUE,-3.699505909,0.0002160196109,0.003755680964
PMM2,2,TRUE,-3.354115874,0.0007961901369,0.01030529787
GFOD2,2,TRUE,2.780387553,0.005429405941,0.04503939019
TAF4B,2,TRUE,-3.53824454,0.0004027968307,0.006055374395
SAT2,2,TRUE,3.490546739,0.0004820332884,0.006943955048
SAMD1,3,TRUE,-3.700062148,0.0002155466749,0.003755680964
EVI5L,2,TRUE,3.701205709,0.0002145774262,0.003755680964
SLC44A3,2,TRUE,4.09493571,4.22E-05,0.001083272674
UCK2,2,TRUE,-4.486115605,7.25E-06,0.0002782625024
MRPL24,2,TRUE,-3.074367167,0.002109496377,0.02180324936
RGL1,2,TRUE,2.80951599,0.004961605446,0.04203216815
HHIPL2,2,TRUE,-3.541473833,0.0003978983227,0.005994281925
ETNK2,2,TRUE,3.580978281,0.0003423101118,0.005287801303
PPFIA4,2,TRUE,-4.424196726,9.68E-06,0.0003513189667
MEIS1,2,TRUE,-3.183660471,0.001454254811,0.01635483204
THNSL2,2,TRUE,4.487725301,7.20E-06,0.000277000733
AFF3,2,TRUE,-3.141313363,0.001681919689,0.01838026008
AMMECR1L,2,TRUE,-3.622493386,0.0002917769232,0.00470404146
TMEFF2,2,TRUE,2.979205119,0.002889972458,0.02765497989
PHOSPHO2,2,TRUE,3.642132894,0.0002703884156,0.004451084024
